,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({5453386}),frozenset({106343}),0.0035894617524817093,0.003400542712877409,0.0004293614536461375,0.11961722488038277,35.17592189840993,0.00041715533564058363,1.132006992244612
1,frozenset({106343}),frozenset({5453386}),0.003400542712877409,0.0035894617524817093,0.0004293614536461375,0.12626262626262627,35.17592189840994,0.00041715533564058363,1.1404005004220152
2,frozenset({108507}),frozenset({1400555}),0.0045684058667949026,0.0037440318757943187,0.000515233744375365,0.11278195488721805,30.123128923225497,0.0004981294871885191,1.1228986759366049
3,frozenset({1400555}),frozenset({108507}),0.0037440318757943187,0.0045684058667949026,0.000515233744375365,0.13761467889908258,30.123128923225497,0.0004981294871885191,1.154277061282121
4,frozenset({7351914}),frozenset({270789}),0.0037096829595026277,0.0007728506165630474,0.0007041527839796655,0.18981481481481483,245.60349794238684,0.0007012857532171605,1.2333317958104137
5,frozenset({270789}),frozenset({7351914}),0.0007728506165630474,0.0037096829595026277,0.0007041527839796655,0.9111111111111112,245.60349794238687,0.0007012857532171605,11.208266066705608
6,frozenset({3582465}),frozenset({348498}),0.00465427815752413,0.0059080136021708515,0.0006182804932504379,0.1328413284132841,22.484939500557793,0.0005907829545874987,1.1463784183566454
7,frozenset({348498}),frozenset({3582465}),0.0059080136021708515,0.00465427815752413,0.0006182804932504379,0.10465116279069767,22.484939500557793,0.0005907829545874987,1.1116848321877002
8,frozenset({5872825}),frozenset({1446155}),0.002558994263730979,0.000549582660667056,0.0005324082025212105,0.20805369127516782,378.5666946308725,0.0005310018236451175,1.2620178998606832
9,frozenset({1446155}),frozenset({5872825}),0.000549582660667056,0.002558994263730979,0.0005324082025212105,0.96875,378.5666946308725,0.0005310018236451175,31.91811218356061
10,frozenset({7351914}),frozenset({2266446}),0.0037096829595026277,0.0007556761584172019,0.0007556761584172019,0.2037037037037037,269.5648148148148,0.0007528728394494192,1.2548649648243133
11,frozenset({2266446}),frozenset({7351914}),0.0007556761584172019,0.0037096829595026277,0.0007556761584172019,1.0,269.56481481481484,0.0007528728394494192,inf
12,frozenset({7351914}),frozenset({2276446}),0.0037096829595026277,0.0005839315769587469,0.0005667571188129014,0.15277777777777776,261.6364379084967,0.0005645909177923421,1.1796386381386716
13,frozenset({2276446}),frozenset({7351914}),0.0005839315769587469,0.0037096829595026277,0.0005667571188129014,0.9705882352941176,261.6364379084967,0.0005645909177923421,33.87387077937691
14,frozenset({3663723}),frozenset({2313723}),0.0005839315769587469,0.00568474564627486,0.00046371036993782846,0.7941176470588236,139.69273147325399,0.0004603908674479898,4.8295312354323805
15,frozenset({2313723}),frozenset({3663723}),0.00568474564627486,0.0005839315769587469,0.00046371036993782846,0.08157099697885196,139.69273147325396,0.0004603908674479898,1.0881799955527192
16,frozenset({7351914}),frozenset({2406446}),0.0037096829595026277,0.0004293614536461375,0.00041218699550029194,0.1111111111111111,258.7822222222222,0.0004105942006322336,1.124516968364648
17,frozenset({2406446}),frozenset({7351914}),0.0004293614536461375,0.0037096829595026277,0.00041218699550029194,0.9599999999999999,258.7822222222222,0.0004105942006322336,24.907257926012345
18,frozenset({2716578}),frozenset({3908011}),0.009033764984714733,0.005616047813691478,0.001305258819084258,0.1444866920152091,25.727468285252495,0.0012545247629924482,1.1623243529999963
19,frozenset({3908011}),frozenset({2716578}),0.005616047813691478,0.009033764984714733,0.001305258819084258,0.23241590214067281,25.7274682852525,0.0012545247629924482,1.2910197563744952
20,frozenset({2716578}),frozenset({3988011}),0.009033764984714733,0.00790025074708893,0.0016659224401470133,0.18441064638783267,23.342378905604225,0.001594553431577495,1.2164206715781614
21,frozenset({3988011}),frozenset({2716578}),0.00790025074708893,0.009033764984714733,0.0016659224401470133,0.21086956521739128,23.342378905604228,0.001594553431577495,1.2557698845923726
22,frozenset({2726578}),frozenset({3908011}),0.015697454745302784,0.005616047813691478,0.001992237144918078,0.12691466083150987,22.598571992585608,0.0019040794885151994,1.138930992854995
23,frozenset({3908011}),frozenset({2726578}),0.005616047813691478,0.015697454745302784,0.001992237144918078,0.35474006116207957,22.598571992585608,0.0019040794885151994,1.525435698096142
24,frozenset({3631365}),frozenset({3581365}),0.007573936042317865,0.0032631470477106446,0.0005324082025212105,0.07029478458049887,21.542021720969093,0.0005076933354851717,1.0720998832974624
25,frozenset({3581365}),frozenset({3631365}),0.0032631470477106446,0.007573936042317865,0.0005324082025212105,0.1631578947368421,21.54202172096909,0.0005076933354851717,1.1859179380626392
26,frozenset({3968356}),frozenset({3581365}),0.007608284958609556,0.0032631470477106446,0.0004980592862295195,0.0654627539503386,20.061233218486397,0.00047323233362869143,1.0665565841977396
27,frozenset({3581365}),frozenset({3968356}),0.0032631470477106446,0.007608284958609556,0.0004980592862295195,0.15263157894736845,20.0612332184864,0.00047323233362869143,1.171145502222759
28,frozenset({3968011}),frozenset({3898011}),0.01636725861299076,0.014134579054030845,0.003503589461752482,0.21406086044071354,15.144480753366935,0.0032722451509893968,1.2543788333264467
29,frozenset({3898011}),frozenset({3968011}),0.014134579054030845,0.01636725861299076,0.003503589461752482,0.24787363304981774,15.144480753366933,0.0032722451509893968,1.3078024978376552
30,frozenset({3988011}),frozenset({3908011}),0.00790025074708893,0.005616047813691478,0.0016659224401470133,0.21086956521739128,37.547679829809866,0.0016215542542112101,1.2601008760487655
31,frozenset({3908011}),frozenset({3988011}),0.005616047813691478,0.00790025074708893,0.0016659224401470133,0.2966360856269113,37.54767982980986,0.0016215542542112101,1.4105070348073996
